id,stop_id,time_slot,eta_bus
1,1,8,118.8841928
2,1,9,121.8490846
3,2.1,8,112.9017437
4,2.1,9,115.4225532
5,2.2,8,112.5131928
6,2.2,9,115.2029111
7,3,8,108.3818565
8,3,9,111.255475
9,4,8,103.0508678
10,4,9,105.7880892
11,5,8,96.99989173
12,5,9,99.87424192
13,6,8,91.60295915
14,6,9,94.49123741
15,9,8,75.93017111
16,9,9,78.09030753
17,10,8,69.80543681
18,10,9,73.13922413
19,11,8,64.91636028
20,11,9,67.87117713
21,13,8,53.91242933
22,13,9,56.71478825
23,19,8,21.96179107
24,19,9,25.1381207
25,20,8,16.33095156
26,20,9,19.39103864
27,23,8,0.379347751
28,23,9,3.146799945
29,24,8,-4.939726448
30,24,9,-2.152971284